"module name","license","repository"
"@esbuild/win32-x64@0.25.5","MIT","https://github.com/evanw/esbuild"
"@maxim_mazurok/gapi.client.discovery-v1@0.1.20200806","MIT","https://github.com/Maxim-Mazurok/google-api-typings-generator"
"@maxim_mazurok/gapi.client.sheets-v4@0.0.20250602","MIT","https://github.com/Maxim-Mazurok/google-api-typings-generator"
"@types/gapi.client.discovery-v1@0.0.4","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/gapi.client.sheets-v4@0.0.4","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/gapi.client@1.0.8","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/gapi@0.0.47","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/google.accounts@0.0.16","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/node@22.15.30","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/trusted-types@2.0.7","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"dompurify@3.2.6","(MPL-2.0 OR Apache-2.0)","https://github.com/cure53/DOMPurify"
"e-kanteki-board@1.0.0","MIT",""
"esbuild@0.25.5","MIT","https://github.com/evanw/esbuild"
"json5@2.2.3","MIT","https://github.com/json5/json5"
"undici-types@6.21.0","MIT","https://github.com/nodejs/undici"
"zod@3.25.51","MIT","https://github.com/colinhacks/zod"
